method,replica,inertia,silhouette,db_score,n_noise
sbert,kmeans4,3334.8818359375,0.06479717046022415,4.187903217892489,
sbert,kmeans5,3261.049072265625,0.06520337611436844,3.883160113960556,
sbert,kmeans6,3223.99267578125,0.05332289636135101,3.8383543289716413,
sbert,kmeans7,3138.508056640625,0.08075639605522156,3.6103990306614926,
sbert,kmeans8,3109.04833984375,0.07559840381145477,3.6038930387709143,
sbert,kmeans9,3077.0263671875,0.08072687685489655,3.5762313297633366,
sbert,kmeans10,3035.84765625,0.0777466744184494,3.454374677960998,
sbert,dbscan0.3,,-0.1543864756822586,2.1077433538518595,1181.0
sbert,dbscan0.4,,0.03801920637488365,2.9206096544027247,334.0
sbert,dbscan0.5,,,,58.0
sbert,dbscan0.6,,,,6.0
sbert,hdbscan,,-0.09252846240997314,2.5558040410700733,1699.0
tfidf,kmeans4,4775.966488278399,0.013687555836612682,10.276224356589568,
tfidf,kmeans5,4757.635695417262,0.01419974899647312,9.666281358474095,
tfidf,kmeans6,4734.315407885879,0.016474376899199644,8.788707919748562,
tfidf,kmeans7,4712.112794591774,0.019429892801397067,8.029641333025813,
tfidf,kmeans8,4698.478781860133,0.021729990887652376,7.894861494211914,
tfidf,kmeans9,4680.3330363195455,0.02229680834091075,7.580702980593767,
tfidf,kmeans10,4659.451122956707,0.024656421455126313,7.246518130584555,
tfidf,dbscan0.3,,-0.009828627900685553,1.7163692878759451,4956.0
tfidf,dbscan0.4,,-0.062436774373478096,2.007610050857961,4666.0
tfidf,dbscan0.5,,-0.04103838352018012,2.4114679109284185,3850.0
tfidf,dbscan0.6,,-0.04015816233943114,3.2523370087359784,2251.0
tfidf,hdbscan,,0.0038121314577374194,14.980177691252306,410.0
w2v,kmeans4,35.33384704589844,0.07469458878040314,3.4576809202954215,
w2v,kmeans5,34.65814971923828,0.0739172175526619,3.675964540434144,
w2v,kmeans6,33.85704040527344,0.04862228408455849,3.3170281890133073,
w2v,kmeans7,33.35618591308594,0.04997842758893967,3.5226477195448296,
w2v,kmeans8,33.036781311035156,0.05451277643442154,3.142002214231412,
w2v,kmeans9,32.54983139038086,0.06431954354047775,3.133589376219774,
w2v,kmeans10,32.29677963256836,0.05912623554468155,3.162718843626485,
w2v,dbscan0.3,,,,1.0
w2v,dbscan0.4,,,,0.0
w2v,dbscan0.5,,,,0.0
w2v,dbscan0.6,,,,0.0
w2v,hdbscan,,-0.06140347942709923,5.401603611234575,3403.0
